Test Case ID,Cloud,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type
WD-01326,Workday,Payroll,Payments,Hospitality,Expense Submit -> Approval -> Accounting -> Reimbursement,Functional,Import Hospitality Workday Payments,Workday access is provisioned and Hospitality test data exists,"1. Open Workday Payments.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Low,Performance
WD-01327,Workday,Payroll,Payments,Hospitality,Supplier Invoice -> Matching -> Approval -> Payment,Workflow,Edit Hospitality Workday Payments,Workday access is provisioned and Hospitality test data exists,"1. Open Workday Payments.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",High,UI
WD-01328,Workday,Payroll,Payments,Hospitality,Integration Load -> Validate -> Error Handling -> Reprocess,Data Migration,Update Hospitality Workday Payments,Workday access is provisioned and Hospitality test data exists,"1. Open Workday Payments.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Low,Workflow
WD-01329,Workday,Payroll,Payments,Hospitality,Recruiting -> Hire -> Onboard -> Time -> Payroll,Mobile,Create Hospitality Workday Payments,Workday access is provisioned and Hospitality test data exists,"1. Open Workday Payments.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",High,UI
WD-01330,Workday,Payroll,Payments,Hospitality,Budget -> Expense -> Journal -> Dashboard,Data Migration,Update Hospitality Workday Payments,Workday access is provisioned and Hospitality test data exists,"1. Open Workday Payments.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Low,Data Migration
WD-01331,Workday,Payroll,Retro,Corporate,Requisition -> Offer -> Hire -> Onboard -> Payroll,Accessibility,Close Corporate Workday Retro,Workday access is provisioned and Corporate test data exists,"1. Open Workday Retro.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Accessibility
WD-01332,Workday,Payroll,Retro,Corporate,Employee Life Event -> Benefits -> Payroll -> Reporting,Security,Create Corporate Workday Retro,Workday access is provisioned and Corporate test data exists,"1. Open Workday Retro.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Medium,Security
WD-01333,Workday,Payroll,Retro,Corporate,Expense Submit -> Approval -> Accounting -> Reimbursement,Accessibility,Submit Corporate Workday Retro,Workday access is provisioned and Corporate test data exists,"1. Open Workday Retro.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Medium,Functional
WD-01334,Workday,Payroll,Retro,Corporate,Supplier Invoice -> Matching -> Approval -> Payment,Workflow,Edit Corporate Workday Retro,Workday access is provisioned and Corporate test data exists,"1. Open Workday Retro.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Medium,Regression
WD-01335,Workday,Payroll,Retro,Corporate,Integration Load -> Validate -> Error Handling -> Reprocess,Accessibility,Validate Corporate Workday Retro,Workday access is provisioned and Corporate test data exists,"1. Open Workday Retro.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Medium,Regression
WD-01336,Workday,Payroll,Retro,Corporate,Recruiting -> Hire -> Onboard -> Time -> Payroll,Security,Edit Corporate Workday Retro,Workday access is provisioned and Corporate test data exists,"1. Open Workday Retro.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",High,Performance
WD-01337,Workday,Payroll,Retro,Corporate,Budget -> Expense -> Journal -> Dashboard,Functional,Reject Corporate Workday Retro,Workday access is provisioned and Corporate test data exists,"1. Open Workday Retro.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",High,Integration
WD-01338,Workday,Payroll,Retro,Retail,Requisition -> Offer -> Hire -> Onboard -> Payroll,UI,Route Retail Workday Retro,Workday access is provisioned and Retail test data exists,"1. Open Workday Retro.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Low,Performance
WD-01339,Workday,Payroll,Retro,Retail,Employee Life Event -> Benefits -> Payroll -> Reporting,Regression,Close Retail Workday Retro,Workday access is provisioned and Retail test data exists,"1. Open Workday Retro.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Low,Workflow
WD-01340,Workday,Payroll,Retro,Retail,Expense Submit -> Approval -> Accounting -> Reimbursement,Regression,Import Retail Workday Retro,Workday access is provisioned and Retail test data exists,"1. Open Workday Retro.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",High,Performance
WD-01341,Workday,Payroll,Retro,Retail,Supplier Invoice -> Matching -> Approval -> Payment,Integration,Import Retail Workday Retro,Workday access is provisioned and Retail test data exists,"1. Open Workday Retro.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",High,Performance
WD-01342,Workday,Payroll,Retro,Retail,Integration Load -> Validate -> Error Handling -> Reprocess,Accessibility,Approve Retail Workday Retro,Workday access is provisioned and Retail test data exists,"1. Open Workday Retro.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Medium,Integration
WD-01343,Workday,Payroll,Retro,Retail,Recruiting -> Hire -> Onboard -> Time -> Payroll,Functional,Close Retail Workday Retro,Workday access is provisioned and Retail test data exists,"1. Open Workday Retro.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Regression
WD-01344,Workday,Payroll,Retro,Retail,Budget -> Expense -> Journal -> Dashboard,Performance,Export Retail Workday Retro,Workday access is provisioned and Retail test data exists,"1. Open Workday Retro.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Low,UI
WD-01345,Workday,Payroll,Retro,Healthcare,Requisition -> Offer -> Hire -> Onboard -> Payroll,Performance,Create Healthcare Workday Retro,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Retro.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Low,Performance
WD-01346,Workday,Payroll,Retro,Healthcare,Employee Life Event -> Benefits -> Payroll -> Reporting,Functional,Sync Healthcare Workday Retro,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Retro.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Medium,Performance
WD-01347,Workday,Payroll,Retro,Healthcare,Expense Submit -> Approval -> Accounting -> Reimbursement,Security,Sync Healthcare Workday Retro,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Retro.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Low,Mobile
WD-01348,Workday,Payroll,Retro,Healthcare,Supplier Invoice -> Matching -> Approval -> Payment,Accessibility,Edit Healthcare Workday Retro,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Retro.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",High,Functional
WD-01349,Workday,Payroll,Retro,Healthcare,Integration Load -> Validate -> Error Handling -> Reprocess,Functional,Close Healthcare Workday Retro,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Retro.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Medium,Data Migration
WD-01350,Workday,Payroll,Retro,Healthcare,Recruiting -> Hire -> Onboard -> Time -> Payroll,Integration,Close Healthcare Workday Retro,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Retro.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Low,Regression
WD-01351,Workday,Payroll,Retro,Healthcare,Budget -> Expense -> Journal -> Dashboard,Mobile,Update Healthcare Workday Retro,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Retro.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Medium,Data Migration
WD-01352,Workday,Payroll,Retro,Manufacturing,Requisition -> Offer -> Hire -> Onboard -> Payroll,Workflow,Reject Manufacturing Workday Retro,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Retro.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Performance
WD-01353,Workday,Payroll,Retro,Manufacturing,Employee Life Event -> Benefits -> Payroll -> Reporting,Integration,Import Manufacturing Workday Retro,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Retro.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Medium,UI
WD-01354,Workday,Payroll,Retro,Manufacturing,Expense Submit -> Approval -> Accounting -> Reimbursement,Performance,Reject Manufacturing Workday Retro,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Retro.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",High,Performance
WD-01355,Workday,Payroll,Retro,Manufacturing,Supplier Invoice -> Matching -> Approval -> Payment,Workflow,Edit Manufacturing Workday Retro,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Retro.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Medium,Data Migration
WD-01356,Workday,Payroll,Retro,Manufacturing,Integration Load -> Validate -> Error Handling -> Reprocess,Data Migration,Close Manufacturing Workday Retro,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Retro.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Medium,UI
WD-01357,Workday,Payroll,Retro,Manufacturing,Recruiting -> Hire -> Onboard -> Time -> Payroll,Regression,Sync Manufacturing Workday Retro,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Retro.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",High,Workflow
WD-01358,Workday,Payroll,Retro,Manufacturing,Budget -> Expense -> Journal -> Dashboard,Integration,Submit Manufacturing Workday Retro,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Retro.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Low,Integration
WD-01359,Workday,Payroll,Retro,Education,Requisition -> Offer -> Hire -> Onboard -> Payroll,Functional,Sync Education Workday Retro,Workday access is provisioned and Education test data exists,"1. Open Workday Retro.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Low,Security
WD-01360,Workday,Payroll,Retro,Education,Employee Life Event -> Benefits -> Payroll -> Reporting,Security,Reject Education Workday Retro,Workday access is provisioned and Education test data exists,"1. Open Workday Retro.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",High,Security
WD-01361,Workday,Payroll,Retro,Education,Expense Submit -> Approval -> Accounting -> Reimbursement,Workflow,Review Education Workday Retro,Workday access is provisioned and Education test data exists,"1. Open Workday Retro.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",High,Functional
WD-01362,Workday,Payroll,Retro,Education,Supplier Invoice -> Matching -> Approval -> Payment,Integration,Create Education Workday Retro,Workday access is provisioned and Education test data exists,"1. Open Workday Retro.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Medium,Accessibility
WD-01363,Workday,Payroll,Retro,Education,Integration Load -> Validate -> Error Handling -> Reprocess,Regression,Update Education Workday Retro,Workday access is provisioned and Education test data exists,"1. Open Workday Retro.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Low,Accessibility
WD-01364,Workday,Payroll,Retro,Education,Recruiting -> Hire -> Onboard -> Time -> Payroll,Integration,Submit Education Workday Retro,Workday access is provisioned and Education test data exists,"1. Open Workday Retro.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Low,Accessibility
WD-01365,Workday,Payroll,Retro,Education,Budget -> Expense -> Journal -> Dashboard,Functional,Reject Education Workday Retro,Workday access is provisioned and Education test data exists,"1. Open Workday Retro.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",High,UI
WD-01366,Workday,Payroll,Retro,Nonprofit,Requisition -> Offer -> Hire -> Onboard -> Payroll,Mobile,Submit Nonprofit Workday Retro,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Retro.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Workflow
WD-01367,Workday,Payroll,Retro,Nonprofit,Employee Life Event -> Benefits -> Payroll -> Reporting,UI,Import Nonprofit Workday Retro,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Retro.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Medium,Workflow
WD-01368,Workday,Payroll,Retro,Nonprofit,Expense Submit -> Approval -> Accounting -> Reimbursement,Workflow,Update Nonprofit Workday Retro,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Retro.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Medium,Workflow
WD-01369,Workday,Payroll,Retro,Nonprofit,Supplier Invoice -> Matching -> Approval -> Payment,Mobile,Reject Nonprofit Workday Retro,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Retro.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",High,Functional
WD-01370,Workday,Payroll,Retro,Nonprofit,Integration Load -> Validate -> Error Handling -> Reprocess,Security,Route Nonprofit Workday Retro,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Retro.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Low,Mobile
WD-01371,Workday,Payroll,Retro,Nonprofit,Recruiting -> Hire -> Onboard -> Time -> Payroll,Data Migration,Route Nonprofit Workday Retro,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Retro.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Data Migration
WD-01372,Workday,Payroll,Retro,Nonprofit,Budget -> Expense -> Journal -> Dashboard,UI,Export Nonprofit Workday Retro,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Retro.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Medium,Workflow
WD-01373,Workday,Payroll,Retro,Financial Services,Requisition -> Offer -> Hire -> Onboard -> Payroll,Security,Close Financial Services Workday Retro,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Retro.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Performance
WD-01374,Workday,Payroll,Retro,Financial Services,Employee Life Event -> Benefits -> Payroll -> Reporting,Performance,Submit Financial Services Workday Retro,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Retro.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Low,UI
WD-01375,Workday,Payroll,Retro,Financial Services,Expense Submit -> Approval -> Accounting -> Reimbursement,Data Migration,Import Financial Services Workday Retro,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Retro.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Medium,Performance
WD-01376,Workday,Payroll,Retro,Financial Services,Supplier Invoice -> Matching -> Approval -> Payment,Data Migration,Submit Financial Services Workday Retro,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Retro.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",High,Workflow
WD-01377,Workday,Payroll,Retro,Financial Services,Integration Load -> Validate -> Error Handling -> Reprocess,Integration,Review Financial Services Workday Retro,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Retro.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",High,UI
WD-01378,Workday,Payroll,Retro,Financial Services,Recruiting -> Hire -> Onboard -> Time -> Payroll,Regression,Sync Financial Services Workday Retro,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Retro.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Low,Regression
WD-01379,Workday,Payroll,Retro,Financial Services,Budget -> Expense -> Journal -> Dashboard,Mobile,Submit Financial Services Workday Retro,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Retro.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Medium,Regression
WD-01380,Workday,Payroll,Retro,Technology,Requisition -> Offer -> Hire -> Onboard -> Payroll,Integration,Approve Technology Workday Retro,Workday access is provisioned and Technology test data exists,"1. Open Workday Retro.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",High,Performance
WD-01381,Workday,Payroll,Retro,Technology,Employee Life Event -> Benefits -> Payroll -> Reporting,Workflow,Reject Technology Workday Retro,Workday access is provisioned and Technology test data exists,"1. Open Workday Retro.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",High,Workflow
WD-01382,Workday,Payroll,Retro,Technology,Expense Submit -> Approval -> Accounting -> Reimbursement,Accessibility,Submit Technology Workday Retro,Workday access is provisioned and Technology test data exists,"1. Open Workday Retro.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Medium,Accessibility
WD-01383,Workday,Payroll,Retro,Technology,Supplier Invoice -> Matching -> Approval -> Payment,Performance,Review Technology Workday Retro,Workday access is provisioned and Technology test data exists,"1. Open Workday Retro.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",High,Accessibility
WD-01384,Workday,Payroll,Retro,Technology,Integration Load -> Validate -> Error Handling -> Reprocess,Mobile,Sync Technology Workday Retro,Workday access is provisioned and Technology test data exists,"1. Open Workday Retro.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Low,UI
WD-01385,Workday,Payroll,Retro,Technology,Recruiting -> Hire -> Onboard -> Time -> Payroll,Data Migration,Import Technology Workday Retro,Workday access is provisioned and Technology test data exists,"1. Open Workday Retro.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Security
WD-01386,Workday,Payroll,Retro,Technology,Budget -> Expense -> Journal -> Dashboard,Performance,Approve Technology Workday Retro,Workday access is provisioned and Technology test data exists,"1. Open Workday Retro.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",High,Mobile
WD-01387,Workday,Payroll,Retro,Public Sector,Requisition -> Offer -> Hire -> Onboard -> Payroll,Security,Update Public Sector Workday Retro,Workday access is provisioned and Public Sector test data exists,"1. Open Workday Retro.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Medium,UI
WD-01388,Workday,Payroll,Retro,Public Sector,Employee Life Event -> Benefits -> Payroll -> Reporting,UI,Review Public Sector Workday Retro,Workday access is provisioned and Public Sector test data exists,"1. Open Workday Retro.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",High,Performance
WD-01389,Workday,Payroll,Retro,Public Sector,Expense Submit -> Approval -> Accounting -> Reimbursement,Workflow,Submit Public Sector Workday Retro,Workday access is provisioned and Public Sector test data exists,"1. Open Workday Retro.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Medium,Regression
WD-01390,Workday,Payroll,Retro,Public Sector,Supplier Invoice -> Matching -> Approval -> Payment,Performance,Edit Public Sector Workday Retro,Workday access is provisioned and Public Sector test data exists,"1. Open Workday Retro.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",High,Integration
WD-01391,Workday,Payroll,Retro,Public Sector,Integration Load -> Validate -> Error Handling -> Reprocess,Data Migration,Export Public Sector Workday Retro,Workday access is provisioned and Public Sector test data exists,"1. Open Workday Retro.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Low,Regression
WD-01392,Workday,Payroll,Retro,Public Sector,Recruiting -> Hire -> Onboard -> Time -> Payroll,UI,Update Public Sector Workday Retro,Workday access is provisioned and Public Sector test data exists,"1. Open Workday Retro.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",High,Workflow
WD-01393,Workday,Payroll,Retro,Public Sector,Budget -> Expense -> Journal -> Dashboard,Workflow,Reject Public Sector Workday Retro,Workday access is provisioned and Public Sector test data exists,"1. Open Workday Retro.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Medium,Workflow
WD-01394,Workday,Payroll,Retro,Hospitality,Requisition -> Offer -> Hire -> Onboard -> Payroll,Regression,Reject Hospitality Workday Retro,Workday access is provisioned and Hospitality test data exists,"1. Open Workday Retro.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Security
