Test Case ID,Cloud,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type
SF-SE-00846,Service,Omni-Channel,Financial Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Performance,Archive Financial Support Service Omni-Channel,User has Service access and Financial Support data is configured,"1. Navigate to Omni-Channel.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Archive and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,High,Regression
SF-SE-00847,Service,Omni-Channel,Manufacturing Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Security,Sync Manufacturing Support Service Omni-Channel,User has Service access and Manufacturing Support data is configured,"1. Navigate to Omni-Channel.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Sync and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Low,Security
SF-SE-00848,Service,Omni-Channel,Manufacturing Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Integration,Archive Manufacturing Support Service Omni-Channel,User has Service access and Manufacturing Support data is configured,"1. Navigate to Omni-Channel.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Archive and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Medium,Mobile
SF-SE-00849,Service,Omni-Channel,Manufacturing Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Regression,Sync Manufacturing Support Service Omni-Channel,User has Service access and Manufacturing Support data is configured,"1. Navigate to Omni-Channel.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Sync and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,Accessibility
SF-SE-00850,Service,Omni-Channel,Manufacturing Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,UI,Restore Manufacturing Support Service Omni-Channel,User has Service access and Manufacturing Support data is configured,"1. Navigate to Omni-Channel.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Restore and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,High,Performance
SF-SE-00851,Service,Omni-Channel,Manufacturing Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Integration,Submit Manufacturing Support Service Omni-Channel,User has Service access and Manufacturing Support data is configured,"1. Navigate to Omni-Channel.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Submit and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Low,Security
SF-SE-00852,Service,Omni-Channel,Manufacturing Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Security,Clone Manufacturing Support Service Omni-Channel,User has Service access and Manufacturing Support data is configured,"1. Navigate to Omni-Channel.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Clone and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,High,Accessibility
SF-SE-00853,Service,Omni-Channel,Telecom Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Mobile,Update Telecom Support Service Omni-Channel,User has Service access and Telecom Support data is configured,"1. Navigate to Omni-Channel.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Update and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Low,Performance
SF-SE-00854,Service,Omni-Channel,Telecom Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Functional,Sync Telecom Support Service Omni-Channel,User has Service access and Telecom Support data is configured,"1. Navigate to Omni-Channel.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Sync and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Low,Regression
SF-SE-00855,Service,Omni-Channel,Telecom Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Mobile,Delete Telecom Support Service Omni-Channel,User has Service access and Telecom Support data is configured,"1. Navigate to Omni-Channel.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Delete and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,Regression
SF-SE-00856,Service,Omni-Channel,Telecom Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Accessibility,Validate Telecom Support Service Omni-Channel,User has Service access and Telecom Support data is configured,"1. Navigate to Omni-Channel.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Validate and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,Regression
SF-SE-00857,Service,Omni-Channel,Telecom Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Accessibility,Update Telecom Support Service Omni-Channel,User has Service access and Telecom Support data is configured,"1. Navigate to Omni-Channel.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Update and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Low,Mobile
SF-SE-00858,Service,Omni-Channel,Telecom Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Performance,Reject Telecom Support Service Omni-Channel,User has Service access and Telecom Support data is configured,"1. Navigate to Omni-Channel.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Reject and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,High,Mobile
SF-SE-00859,Service,Omni-Channel,B2B Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Performance,Search B2B Support Service Omni-Channel,User has Service access and B2B Support data is configured,"1. Navigate to Omni-Channel.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Search and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Low,Functional
SF-SE-00860,Service,Omni-Channel,B2B Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Accessibility,Reject B2B Support Service Omni-Channel,User has Service access and B2B Support data is configured,"1. Navigate to Omni-Channel.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Reject and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,High,Performance
SF-SE-00861,Service,Omni-Channel,B2B Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Mobile,View B2B Support Service Omni-Channel,User has Service access and B2B Support data is configured,"1. Navigate to Omni-Channel.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform View and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,Performance
SF-SE-00862,Service,Omni-Channel,B2B Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Security,Search B2B Support Service Omni-Channel,User has Service access and B2B Support data is configured,"1. Navigate to Omni-Channel.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Search and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Medium,Performance
SF-SE-00863,Service,Omni-Channel,B2B Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Integration,Approve B2B Support Service Omni-Channel,User has Service access and B2B Support data is configured,"1. Navigate to Omni-Channel.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Approve and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Medium,UI
SF-SE-00864,Service,Omni-Channel,B2B Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Integration,Search B2B Support Service Omni-Channel,User has Service access and B2B Support data is configured,"1. Navigate to Omni-Channel.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Search and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Medium,Security
SF-SE-00865,Service,Field Service,Retail Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Regression,Edit Retail Support Service Field Service,User has Service access and Retail Support data is configured,"1. Navigate to Field Service.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Edit and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,High,Functional
SF-SE-00866,Service,Field Service,Retail Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Functional,Sync Retail Support Service Field Service,User has Service access and Retail Support data is configured,"1. Navigate to Field Service.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Sync and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Low,Mobile
SF-SE-00867,Service,Field Service,Retail Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Regression,Approve Retail Support Service Field Service,User has Service access and Retail Support data is configured,"1. Navigate to Field Service.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Approve and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,High,Security
SF-SE-00868,Service,Field Service,Retail Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Integration,Reject Retail Support Service Field Service,User has Service access and Retail Support data is configured,"1. Navigate to Field Service.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Reject and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,Performance
SF-SE-00869,Service,Field Service,Retail Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Security,Archive Retail Support Service Field Service,User has Service access and Retail Support data is configured,"1. Navigate to Field Service.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Archive and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Low,Integration
SF-SE-00870,Service,Field Service,Retail Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Integration,Validate Retail Support Service Field Service,User has Service access and Retail Support data is configured,"1. Navigate to Field Service.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Validate and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Medium,Security
SF-SE-00871,Service,Field Service,Healthcare Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Mobile,Restore Healthcare Support Service Field Service,User has Service access and Healthcare Support data is configured,"1. Navigate to Field Service.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Restore and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Low,Integration
SF-SE-00872,Service,Field Service,Healthcare Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Performance,Search Healthcare Support Service Field Service,User has Service access and Healthcare Support data is configured,"1. Navigate to Field Service.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Search and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,High,Mobile
SF-SE-00873,Service,Field Service,Healthcare Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Mobile,Edit Healthcare Support Service Field Service,User has Service access and Healthcare Support data is configured,"1. Navigate to Field Service.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Edit and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,High,UI
SF-SE-00874,Service,Field Service,Healthcare Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Accessibility,Sync Healthcare Support Service Field Service,User has Service access and Healthcare Support data is configured,"1. Navigate to Field Service.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Sync and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,High,Mobile
SF-SE-00875,Service,Field Service,Healthcare Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Regression,Submit Healthcare Support Service Field Service,User has Service access and Healthcare Support data is configured,"1. Navigate to Field Service.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Submit and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Low,Functional
SF-SE-00876,Service,Field Service,Healthcare Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Mobile,Reassign Healthcare Support Service Field Service,User has Service access and Healthcare Support data is configured,"1. Navigate to Field Service.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Reassign and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Medium,Integration
SF-SE-00877,Service,Field Service,Financial Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Regression,Create Financial Support Service Field Service,User has Service access and Financial Support data is configured,"1. Navigate to Field Service.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Create and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Medium,Integration
SF-SE-00878,Service,Field Service,Financial Support,Case Create -> Route -> Knowledge -> Resolve -> Close,UI,Bulk Edit Financial Support Service Field Service,User has Service access and Financial Support data is configured,"1. Navigate to Field Service.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Bulk Edit and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Low,Integration
SF-SE-00879,Service,Field Service,Financial Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Accessibility,Sync Financial Support Service Field Service,User has Service access and Financial Support data is configured,"1. Navigate to Field Service.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Sync and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Medium,Regression
SF-SE-00880,Service,Field Service,Financial Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Functional,Clone Financial Support Service Field Service,User has Service access and Financial Support data is configured,"1. Navigate to Field Service.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Clone and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Medium,Functional
SF-SE-00881,Service,Field Service,Financial Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Functional,Edit Financial Support Service Field Service,User has Service access and Financial Support data is configured,"1. Navigate to Field Service.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Edit and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Low,Performance
SF-SE-00882,Service,Field Service,Financial Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Security,Clone Financial Support Service Field Service,User has Service access and Financial Support data is configured,"1. Navigate to Field Service.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Clone and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Low,Security
SF-SE-00883,Service,Field Service,Manufacturing Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Mobile,Submit Manufacturing Support Service Field Service,User has Service access and Manufacturing Support data is configured,"1. Navigate to Field Service.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Submit and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,High,Mobile
SF-SE-00884,Service,Field Service,Manufacturing Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Security,Delete Manufacturing Support Service Field Service,User has Service access and Manufacturing Support data is configured,"1. Navigate to Field Service.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Delete and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Medium,Mobile
SF-SE-00885,Service,Field Service,Manufacturing Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Regression,Submit Manufacturing Support Service Field Service,User has Service access and Manufacturing Support data is configured,"1. Navigate to Field Service.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Submit and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,UI
SF-SE-00886,Service,Field Service,Manufacturing Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Performance,Reassign Manufacturing Support Service Field Service,User has Service access and Manufacturing Support data is configured,"1. Navigate to Field Service.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Reassign and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Medium,Accessibility
SF-SE-00887,Service,Field Service,Manufacturing Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Performance,Update Manufacturing Support Service Field Service,User has Service access and Manufacturing Support data is configured,"1. Navigate to Field Service.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Update and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Low,Functional
SF-SE-00888,Service,Field Service,Manufacturing Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Functional,View Manufacturing Support Service Field Service,User has Service access and Manufacturing Support data is configured,"1. Navigate to Field Service.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform View and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,High,Integration
SF-SE-00889,Service,Field Service,Telecom Support,Case Create -> Route -> Knowledge -> Resolve -> Close,UI,Validate Telecom Support Service Field Service,User has Service access and Telecom Support data is configured,"1. Navigate to Field Service.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Validate and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,High,Performance
SF-SE-00890,Service,Field Service,Telecom Support,Case Create -> Route -> Knowledge -> Resolve -> Close,UI,Bulk Edit Telecom Support Service Field Service,User has Service access and Telecom Support data is configured,"1. Navigate to Field Service.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Bulk Edit and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,High,Functional
SF-SE-00891,Service,Field Service,Telecom Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Performance,Delete Telecom Support Service Field Service,User has Service access and Telecom Support data is configured,"1. Navigate to Field Service.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Delete and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,High,Regression
SF-SE-00892,Service,Field Service,Telecom Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Functional,Validate Telecom Support Service Field Service,User has Service access and Telecom Support data is configured,"1. Navigate to Field Service.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Validate and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Medium,Regression
SF-SE-00893,Service,Field Service,Telecom Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Security,Reject Telecom Support Service Field Service,User has Service access and Telecom Support data is configured,"1. Navigate to Field Service.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Reject and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Low,UI
SF-SE-00894,Service,Field Service,Telecom Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Security,Create Telecom Support Service Field Service,User has Service access and Telecom Support data is configured,"1. Navigate to Field Service.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Create and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,High,Accessibility
SF-SE-00895,Service,Field Service,B2B Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Integration,Create B2B Support Service Field Service,User has Service access and B2B Support data is configured,"1. Navigate to Field Service.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Create and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Medium,Integration
SF-SE-00896,Service,Field Service,B2B Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Accessibility,Approve B2B Support Service Field Service,User has Service access and B2B Support data is configured,"1. Navigate to Field Service.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Approve and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,High,Security
SF-SE-00897,Service,Field Service,B2B Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Performance,Edit B2B Support Service Field Service,User has Service access and B2B Support data is configured,"1. Navigate to Field Service.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Edit and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,Accessibility
SF-SE-00898,Service,Field Service,B2B Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Accessibility,Approve B2B Support Service Field Service,User has Service access and B2B Support data is configured,"1. Navigate to Field Service.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Approve and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Medium,Security
SF-SE-00899,Service,Field Service,B2B Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Mobile,View B2B Support Service Field Service,User has Service access and B2B Support data is configured,"1. Navigate to Field Service.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform View and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Low,Regression
SF-SE-00900,Service,Field Service,B2B Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Performance,Bulk Edit B2B Support Service Field Service,User has Service access and B2B Support data is configured,"1. Navigate to Field Service.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Bulk Edit and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Low,Mobile
SF-SE-00901,Service,Entitlements,Retail Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Performance,Submit Retail Support Service Entitlements,User has Service access and Retail Support data is configured,"1. Navigate to Entitlements.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Submit and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Medium,Regression
SF-SE-00902,Service,Entitlements,Retail Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Security,Close Retail Support Service Entitlements,User has Service access and Retail Support data is configured,"1. Navigate to Entitlements.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Close and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,High,Functional
SF-SE-00903,Service,Entitlements,Retail Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Functional,Validate Retail Support Service Entitlements,User has Service access and Retail Support data is configured,"1. Navigate to Entitlements.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Validate and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,High,Integration
SF-SE-00904,Service,Entitlements,Retail Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Mobile,Export Retail Support Service Entitlements,User has Service access and Retail Support data is configured,"1. Navigate to Entitlements.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Export and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,Performance
SF-SE-00905,Service,Entitlements,Retail Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Performance,Update Retail Support Service Entitlements,User has Service access and Retail Support data is configured,"1. Navigate to Entitlements.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Update and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,High,UI
SF-SE-00906,Service,Entitlements,Retail Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Mobile,Delete Retail Support Service Entitlements,User has Service access and Retail Support data is configured,"1. Navigate to Entitlements.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Delete and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Medium,Accessibility
SF-SE-00907,Service,Entitlements,Healthcare Support,Case Create -> Route -> Knowledge -> Resolve -> Close,UI,Approve Healthcare Support Service Entitlements,User has Service access and Healthcare Support data is configured,"1. Navigate to Entitlements.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Approve and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Low,Performance
SF-SE-00908,Service,Entitlements,Healthcare Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Mobile,Create Healthcare Support Service Entitlements,User has Service access and Healthcare Support data is configured,"1. Navigate to Entitlements.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Create and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Medium,Functional
SF-SE-00909,Service,Entitlements,Healthcare Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Integration,Submit Healthcare Support Service Entitlements,User has Service access and Healthcare Support data is configured,"1. Navigate to Entitlements.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Submit and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,Security
SF-SE-00910,Service,Entitlements,Healthcare Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Mobile,Restore Healthcare Support Service Entitlements,User has Service access and Healthcare Support data is configured,"1. Navigate to Entitlements.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Restore and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,Performance
SF-SE-00911,Service,Entitlements,Healthcare Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Integration,Submit Healthcare Support Service Entitlements,User has Service access and Healthcare Support data is configured,"1. Navigate to Entitlements.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Submit and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Low,Functional
SF-SE-00912,Service,Entitlements,Healthcare Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Functional,Restore Healthcare Support Service Entitlements,User has Service access and Healthcare Support data is configured,"1. Navigate to Entitlements.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Restore and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Medium,Accessibility
SF-SE-00913,Service,Entitlements,Financial Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Security,Delete Financial Support Service Entitlements,User has Service access and Financial Support data is configured,"1. Navigate to Entitlements.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Delete and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Low,Security
SF-SE-00914,Service,Entitlements,Financial Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Performance,View Financial Support Service Entitlements,User has Service access and Financial Support data is configured,"1. Navigate to Entitlements.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform View and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,High,Regression
