Test Case ID,Cloud,Module,Domain,Test Type,Variant,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type
SF-FSC-00975,Financial Services,Household,Brokerage,Accessibility,A,Sync Brokerage Financial Services Household,User has FSC access and Brokerage data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Sync action on Brokerage record.\n3. Save and verify relationship mapping, rollups, compliance.",Sync Brokerage Financial Services Household completes with correct household/rollup data and compliance audit trail,High,Accessibility
SF-FSC-00976,Financial Services,Household,Brokerage,API,A,Share Brokerage Financial Services Household,User has FSC access and Brokerage data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Share action on Brokerage record.\n3. Save and verify relationship mapping, rollups, compliance.",Share Brokerage Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,API
SF-FSC-00977,Financial Services,Household,Brokerage,API,A,KYC Verify Brokerage Financial Services Household,User has FSC access and Brokerage data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform KYC Verify action on Brokerage record.\n3. Save and verify relationship mapping, rollups, compliance.",KYC Verify Brokerage Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,API
SF-FSC-00978,Financial Services,Household,Brokerage,API,A,Edit Brokerage Financial Services Household,User has FSC access and Brokerage data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Edit action on Brokerage record.\n3. Save and verify relationship mapping, rollups, compliance.",Edit Brokerage Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,API
SF-FSC-00979,Financial Services,Household,Brokerage,KYC/AML,A,Sync Brokerage Financial Services Household,User has FSC access and Brokerage data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Sync action on Brokerage record.\n3. Save and verify relationship mapping, rollups, compliance.",Sync Brokerage Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,KYC/AML
SF-FSC-00980,Financial Services,Household,Brokerage,KYC/AML,A,Delete Brokerage Financial Services Household,User has FSC access and Brokerage data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Delete action on Brokerage record.\n3. Save and verify relationship mapping, rollups, compliance.",Delete Brokerage Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,KYC/AML
SF-FSC-00981,Financial Services,Household,Brokerage,KYC/AML,A,Export Brokerage Financial Services Household,User has FSC access and Brokerage data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Export action on Brokerage record.\n3. Save and verify relationship mapping, rollups, compliance.",Export Brokerage Financial Services Household completes with correct household/rollup data and compliance audit trail,High,KYC/AML
SF-FSC-00982,Financial Services,Household,Brokerage,Regulatory Audit,A,Create Brokerage Financial Services Household,User has FSC access and Brokerage data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Create action on Brokerage record.\n3. Save and verify relationship mapping, rollups, compliance.",Create Brokerage Financial Services Household completes with correct household/rollup data and compliance audit trail,High,Regulatory Audit
SF-FSC-00983,Financial Services,Household,Brokerage,Regulatory Audit,A,Route Brokerage Financial Services Household,User has FSC access and Brokerage data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Route action on Brokerage record.\n3. Save and verify relationship mapping, rollups, compliance.",Route Brokerage Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Regulatory Audit
SF-FSC-00984,Financial Services,Household,Brokerage,Regulatory Audit,A,Reassign Brokerage Financial Services Household,User has FSC access and Brokerage data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Reassign action on Brokerage record.\n3. Save and verify relationship mapping, rollups, compliance.",Reassign Brokerage Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,Regulatory Audit
SF-FSC-00985,Financial Services,Household,Brokerage,Rollup Validation,A,Reject Brokerage Financial Services Household,User has FSC access and Brokerage data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Reject action on Brokerage record.\n3. Save and verify relationship mapping, rollups, compliance.",Reject Brokerage Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,Rollup Validation
SF-FSC-00986,Financial Services,Household,Brokerage,Rollup Validation,A,Archive Brokerage Financial Services Household,User has FSC access and Brokerage data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Archive action on Brokerage record.\n3. Save and verify relationship mapping, rollups, compliance.",Archive Brokerage Financial Services Household completes with correct household/rollup data and compliance audit trail,High,Rollup Validation
SF-FSC-00987,Financial Services,Household,Brokerage,Rollup Validation,A,Sync Brokerage Financial Services Household,User has FSC access and Brokerage data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Sync action on Brokerage record.\n3. Save and verify relationship mapping, rollups, compliance.",Sync Brokerage Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Rollup Validation
SF-FSC-00988,Financial Services,Household,Brokerage,Relationship Mapping,A,AML Flag Brokerage Financial Services Household,User has FSC access and Brokerage data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform AML Flag action on Brokerage record.\n3. Save and verify relationship mapping, rollups, compliance.",AML Flag Brokerage Financial Services Household completes with correct household/rollup data and compliance audit trail,High,Relationship Mapping
SF-FSC-00989,Financial Services,Household,Brokerage,Relationship Mapping,A,Export Brokerage Financial Services Household,User has FSC access and Brokerage data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Export action on Brokerage record.\n3. Save and verify relationship mapping, rollups, compliance.",Export Brokerage Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,Relationship Mapping
SF-FSC-00990,Financial Services,Household,Brokerage,Relationship Mapping,A,Share Brokerage Financial Services Household,User has FSC access and Brokerage data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Share action on Brokerage record.\n3. Save and verify relationship mapping, rollups, compliance.",Share Brokerage Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Relationship Mapping
SF-FSC-00991,Financial Services,Household,Private Banking,Functional,A,Approve Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Approve action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Approve Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Functional
SF-FSC-00992,Financial Services,Household,Private Banking,Functional,A,Reassign Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Reassign action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Reassign Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,Functional
SF-FSC-00993,Financial Services,Household,Private Banking,Functional,A,Clone Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Clone action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Clone Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Functional
SF-FSC-00994,Financial Services,Household,Private Banking,Regression,A,KYC Verify Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform KYC Verify action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",KYC Verify Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,High,Regression
SF-FSC-00995,Financial Services,Household,Private Banking,Regression,A,AML Flag Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform AML Flag action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",AML Flag Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,High,Regression
SF-FSC-00996,Financial Services,Household,Private Banking,Regression,A,Route Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Route action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Route Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Regression
SF-FSC-00997,Financial Services,Household,Private Banking,UI,A,Delete Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Delete action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Delete Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,UI
SF-FSC-00998,Financial Services,Household,Private Banking,UI,A,Sync Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Sync action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Sync Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,High,UI
SF-FSC-00999,Financial Services,Household,Private Banking,UI,A,Approve Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Approve action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Approve Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,UI
SF-FSC-01000,Financial Services,Household,Private Banking,Integration,A,Route Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Route action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Route Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Integration
SF-FSC-01001,Financial Services,Household,Private Banking,Integration,A,KYC Verify Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform KYC Verify action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",KYC Verify Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,High,Integration
SF-FSC-01002,Financial Services,Household,Private Banking,Integration,A,View Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform View action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",View Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,Integration
SF-FSC-01003,Financial Services,Household,Private Banking,Security,A,Export Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Export action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Export Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Security
SF-FSC-01004,Financial Services,Household,Private Banking,Security,A,AML Flag Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform AML Flag action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",AML Flag Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,High,Security
SF-FSC-01005,Financial Services,Household,Private Banking,Security,A,Reject Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Reject action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Reject Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,High,Security
SF-FSC-01006,Financial Services,Household,Private Banking,Compliance,A,Sync Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Sync action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Sync Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,Compliance
SF-FSC-01007,Financial Services,Household,Private Banking,Compliance,A,Approve Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Approve action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Approve Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,Compliance
SF-FSC-01008,Financial Services,Household,Private Banking,Compliance,A,Export Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Export action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Export Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,High,Compliance
SF-FSC-01009,Financial Services,Household,Private Banking,Performance,A,KYC Verify Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform KYC Verify action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",KYC Verify Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,Performance
SF-FSC-01010,Financial Services,Household,Private Banking,Performance,A,AML Flag Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform AML Flag action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",AML Flag Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,High,Performance
SF-FSC-01011,Financial Services,Household,Private Banking,Performance,A,Restore Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Restore action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Restore Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,High,Performance
SF-FSC-01012,Financial Services,Household,Private Banking,Data Migration,A,Reject Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Reject action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Reject Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,High,Data Migration
SF-FSC-01013,Financial Services,Household,Private Banking,Data Migration,A,Edit Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Edit action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Edit Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Data Migration
SF-FSC-01014,Financial Services,Household,Private Banking,Data Migration,A,Bulk Edit Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Bulk Edit action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Bulk Edit Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,Data Migration
SF-FSC-01015,Financial Services,Household,Private Banking,Mobile,A,Edit Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Edit action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Edit Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Mobile
SF-FSC-01016,Financial Services,Household,Private Banking,Mobile,A,KYC Verify Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform KYC Verify action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",KYC Verify Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Mobile
SF-FSC-01017,Financial Services,Household,Private Banking,Mobile,A,Share Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Share action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Share Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,Mobile
SF-FSC-01018,Financial Services,Household,Private Banking,Accessibility,A,Create Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Create action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Create Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Accessibility
SF-FSC-01019,Financial Services,Household,Private Banking,Accessibility,A,Reject Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Reject action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Reject Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Accessibility
SF-FSC-01020,Financial Services,Household,Private Banking,Accessibility,A,Close Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Close action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Close Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,Accessibility
SF-FSC-01021,Financial Services,Household,Private Banking,API,A,Reassign Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Reassign action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Reassign Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,High,API
SF-FSC-01022,Financial Services,Household,Private Banking,API,A,Bulk Edit Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Bulk Edit action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Bulk Edit Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,API
SF-FSC-01023,Financial Services,Household,Private Banking,API,A,Update Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Update action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Update Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,High,API
SF-FSC-01024,Financial Services,Household,Private Banking,KYC/AML,A,Submit Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Submit action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Submit Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,High,KYC/AML
SF-FSC-01025,Financial Services,Household,Private Banking,KYC/AML,A,Bulk Edit Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Bulk Edit action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Bulk Edit Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,KYC/AML
SF-FSC-01026,Financial Services,Household,Private Banking,KYC/AML,A,Delete Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Delete action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Delete Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,KYC/AML
SF-FSC-01027,Financial Services,Household,Private Banking,Regulatory Audit,A,Restore Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Restore action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Restore Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,Regulatory Audit
SF-FSC-01028,Financial Services,Household,Private Banking,Regulatory Audit,A,KYC Verify Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform KYC Verify action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",KYC Verify Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Regulatory Audit
SF-FSC-01029,Financial Services,Household,Private Banking,Regulatory Audit,A,Search Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Search action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Search Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,High,Regulatory Audit
SF-FSC-01030,Financial Services,Household,Private Banking,Rollup Validation,A,Reject Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Reject action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Reject Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Rollup Validation
SF-FSC-01031,Financial Services,Household,Private Banking,Rollup Validation,A,Bulk Edit Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Bulk Edit action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Bulk Edit Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,Rollup Validation
SF-FSC-01032,Financial Services,Household,Private Banking,Rollup Validation,A,KYC Verify Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform KYC Verify action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",KYC Verify Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,High,Rollup Validation
SF-FSC-01033,Financial Services,Household,Private Banking,Relationship Mapping,A,Sync Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Sync action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Sync Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Relationship Mapping
SF-FSC-01034,Financial Services,Household,Private Banking,Relationship Mapping,A,Update Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Update action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Update Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,Relationship Mapping
SF-FSC-01035,Financial Services,Household,Private Banking,Relationship Mapping,A,KYC Verify Private Banking Financial Services Household,User has FSC access and Private Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform KYC Verify action on Private Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",KYC Verify Private Banking Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Relationship Mapping
SF-FSC-01036,Financial Services,Household,Compliance,Functional,A,Approve Compliance Financial Services Household,User has FSC access and Compliance data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Approve action on Compliance record.\n3. Save and verify relationship mapping, rollups, compliance.",Approve Compliance Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Functional
SF-FSC-01037,Financial Services,Household,Compliance,Functional,A,Reject Compliance Financial Services Household,User has FSC access and Compliance data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Reject action on Compliance record.\n3. Save and verify relationship mapping, rollups, compliance.",Reject Compliance Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,Functional
SF-FSC-01038,Financial Services,Household,Compliance,Functional,A,View Compliance Financial Services Household,User has FSC access and Compliance data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform View action on Compliance record.\n3. Save and verify relationship mapping, rollups, compliance.",View Compliance Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Functional
SF-FSC-01039,Financial Services,Household,Compliance,Regression,A,Export Compliance Financial Services Household,User has FSC access and Compliance data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Export action on Compliance record.\n3. Save and verify relationship mapping, rollups, compliance.",Export Compliance Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Regression
SF-FSC-01040,Financial Services,Household,Compliance,Regression,A,Clone Compliance Financial Services Household,User has FSC access and Compliance data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Clone action on Compliance record.\n3. Save and verify relationship mapping, rollups, compliance.",Clone Compliance Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,Regression
SF-FSC-01041,Financial Services,Household,Compliance,Regression,A,Share Compliance Financial Services Household,User has FSC access and Compliance data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Share action on Compliance record.\n3. Save and verify relationship mapping, rollups, compliance.",Share Compliance Financial Services Household completes with correct household/rollup data and compliance audit trail,Low,Regression
SF-FSC-01042,Financial Services,Household,Compliance,UI,A,Update Compliance Financial Services Household,User has FSC access and Compliance data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Update action on Compliance record.\n3. Save and verify relationship mapping, rollups, compliance.",Update Compliance Financial Services Household completes with correct household/rollup data and compliance audit trail,High,UI
SF-FSC-01043,Financial Services,Household,Compliance,UI,A,Reassign Compliance Financial Services Household,User has FSC access and Compliance data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Reassign action on Compliance record.\n3. Save and verify relationship mapping, rollups, compliance.",Reassign Compliance Financial Services Household completes with correct household/rollup data and compliance audit trail,High,UI
SF-FSC-01044,Financial Services,Household,Compliance,UI,A,Archive Compliance Financial Services Household,User has FSC access and Compliance data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Archive action on Compliance record.\n3. Save and verify relationship mapping, rollups, compliance.",Archive Compliance Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,UI
SF-FSC-01045,Financial Services,Household,Compliance,Integration,A,Close Compliance Financial Services Household,User has FSC access and Compliance data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Close action on Compliance record.\n3. Save and verify relationship mapping, rollups, compliance.",Close Compliance Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Integration
SF-FSC-01046,Financial Services,Household,Compliance,Integration,A,KYC Verify Compliance Financial Services Household,User has FSC access and Compliance data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform KYC Verify action on Compliance record.\n3. Save and verify relationship mapping, rollups, compliance.",KYC Verify Compliance Financial Services Household completes with correct household/rollup data and compliance audit trail,Medium,Integration
SF-FSC-01047,Financial Services,Household,Compliance,Integration,A,View Compliance Financial Services Household,User has FSC access and Compliance data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform View action on Compliance record.\n3. Save and verify relationship mapping, rollups, compliance.",View Compliance Financial Services Household completes with correct household/rollup data and compliance audit trail,High,Integration
SF-FSC-01048,Financial Services,Household,Compliance,Security,A,Export Compliance Financial Services Household,User has FSC access and Compliance data is configured (core banking/wealth systems mapped),"1. Navigate to Household in Financial Services Cloud.\n2. Perform Export action on Compliance record.\n3. Save and verify relationship mapping, rollups, compliance.",Export Compliance Financial Services Household completes with correct household/rollup data and compliance audit trail,High,Security
